,Unnamed: 0,Department,Course Number,Instructor,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,Major
202,2123,ECE,ECE 118 ,"Guest, Clark C",SP14,52,13,91.7,75.0,9.17,3.33,3.11,sm
203,2124,ECE,ECE 120 ,"Quest, Kevin B",SP10,38,13,75.0,100.0,3.88,3.31,3.23,ener
204,2125,ECE,ECE 120 ,"Quest, Kevin B",SP11,27,9,100.0,88.9,2.94,3.25,3.26,ener
205,2126,ECE,ECE 120 ,"Quest, Kevin B",SP12,29,10,66.7,100.0,3.1,3.44,3.08,ener
206,2127,ECE,ECE 120 ,"Quest, Kevin B",SP13,43,12,91.7,100.0,2.67,3.75,3.29,ener
207,2128,ECE,ECE 120 ,"Quest, Kevin B",SP14,71,21,100.0,94.7,2.61,3.56,2.85,ener
208,2129,ECE,ECE 120 ,"Quest, Kevin B",SP16,47,17,100.0,100.0,3.88,3.53,3.09,ener
209,2130,ECE,ECE 120 ,"Quest, Kevin B",SP17,48,11,80.0,100.0,5.3,3.1,3.12,ener
210,2131,ECE,ECE 120 ,"Quest, Kevin B",SP18,48,14,100.0,100.0,2.96,3.54,3.27,ener
211,2132,ECE,ECE 120 ,"Quest, Kevin B",SP19,59,19,94.4,94.4,3.94,3.39,3.36,ener
212,2133,ECE,ECE 121 ,"Esmaili, Gholamreza",WI16,54,18,93.8,100.0,8.21,3.21,2.75,ener
213,2134,ECE,ECE 121A ,"Esmaili, Gholamreza",FA16,80,29,100.0,96.6,10.29,3.0,2.87,ener
214,2135,ECE,ECE 121A ,"Esmaili, Gholamreza",FA17,48,12,100.0,100.0,8.14,3.27,3.02,ener
215,2136,ECE,ECE 121A ,"Esmaili, Gholamreza",FA18,50,14,100.0,83.3,7.42,3.31,3.2,ener
216,2137,ECE,ECE 121B ,"Esmaili, Gholamreza",WI17,62,14,100.0,100.0,9.93,3.08,2.95,ener
217,2138,ECE,ECE 121B ,"Esmaili, Gholamreza",WI18,39,16,93.3,92.9,7.17,3.07,3.08,ener
218,2139,ECE,ECE 121B ,"Esmaili, Gholamreza",WI19,31,14,100.0,100.0,8.21,3.43,2.97,ener
219,2140,ECE,ECE 123 ,"Sievenpiper, Daniel F.",SP16,42,16,93.8,93.8,7.38,3.29,2.96,ecs
220,2141,ECE,ECE 123 ,"Sievenpiper, Daniel F.",SP17,52,11,100.0,100.0,6.3,3.8,2.94,ecs
221,2142,ECE,ECE 123 ,"Sievenpiper, Daniel F.",SP18,26,17,100.0,100.0,6.15,3.12,2.9,ecs
222,2143,ECE,ECE 123 ,"Sievenpiper, Daniel F.",SP19,37,15,100.0,100.0,6.81,3.75,3.16,ecs
223,2144,ECE,ECE 125A ,"Asbeck, Peter Michael",WI16,55,17,100.0,64.7,9.83,3.19,3.34,ener
224,2145,ECE,ECE 125A ,"Asbeck, Peter Michael",WI17,72,14,92.9,78.6,9.12,3.07,2.8,ener
225,2146,ECE,ECE 125A ,"Esmaili, Gholamreza",WI15,59,17,100.0,100.0,9.97,2.71,2.97,ener
226,2147,ECE,ECE 125A ,"Esmaili, Gholamreza",WI18,42,12,90.9,100.0,8.14,3.45,3.03,ener
227,2148,ECE,ECE 125A ,"Esmaili, Gholamreza",WI19,28,9,100.0,100.0,9.17,3.44,3.16,ener
228,2149,ECE,ECE 125B ,"Esmaili, Gholamreza",SP15,38,13,100.0,100.0,9.95,3.5,3.0,ener
229,2150,ECE,ECE 125B ,"Esmaili, Gholamreza",SP16,41,12,100.0,100.0,9.41,3.36,3.14,ener
230,2151,ECE,ECE 125B ,"Esmaili, Gholamreza",SP17,43,6,100.0,100.0,9.3,3.5,3.0,ener
231,2152,ECE,ECE 125B ,"Esmaili, Gholamreza",SP18,33,9,88.9,100.0,11.17,3.33,3.04,ener
232,2153,ECE,ECE 125B ,"Esmaili, Gholamreza",SP19,26,10,100.0,100.0,9.83,3.22,3.22,ener
233,2154,ECE,ECE 134 ,"Ng, Tse Nga",SP16,48,23,100.0,100.0,6.21,3.43,2.85,ecs
234,2155,ECE,ECE 134 ,"Ng, Tse Nga",SP17,28,10,100.0,100.0,6.25,3.57,3.21,ecs
235,2156,ECE,ECE 134 ,"Ng, Tse Nga",WI18,23,14,100.0,100.0,5.36,3.29,3.26,ecs
236,2157,ECE,ECE 134 ,"Ng, Tse Nga",WI19,21,10,100.0,100.0,5.61,3.78,3.45,ecs
237,2158,ECE,ECE 135A ,"Tu, Charles",WI15,31,9,100.0,100.0,7.61,3.22,2.66,mat
238,2159,ECE,ECE 135A ,"Tu, Charles",WI17,25,5,100.0,80.0,6.0,3.25,2.7,mat
239,2160,ECE,ECE 135A ,"Yu, Paul K L",WI13,20,9,88.9,77.8,9.0,3.13,2.5,mat
240,2161,ECE,ECE 135A ,"Yu, Paul K L",WI14,15,5,100.0,100.0,6.9,3.25,2.62,mat
241,2162,ECE,ECE 135B ,"Dayeh, Shadi Ahmad",SP15,27,10,100.0,100.0,13.1,3.44,3.18,mat
242,2163,ECE,ECE 136L ,"Dayeh, Shadi Ahmad",WI15,22,7,71.4,85.7,16.21,3.0,3.09,ecs
243,2164,ECE,ECE 136L ,"Dayeh, Shadi Ahmad",WI16,20,8,100.0,100.0,13.5,3.13,3.3,ecs
244,2165,ECE,ECE 136L ,"Dayeh, Shadi Ahmad",WI17,33,18,92.9,92.9,10.5,3.31,3.3,ecs
245,2166,ECE,ECE 136L ,"Lau, Silvanus S",WI14,15,11,100.0,100.0,13.9,3.38,2.85,ecs
246,2167,ECE,ECE 136L ,"Lau, Silvanus S",WI15,22,7,71.4,85.7,16.21,3.0,3.09,ecs
247,2168,ECE,ECE 140A ,"Gessner, Richard K.",WI18,48,38,97.4,97.4,8.34,3.39,3.51,mat
248,2169,ECE,ECE 140A ,"Gessner, Richard K.",WI19,67,23,86.4,90.9,7.95,3.41,3.43,mat
249,2170,ECE,ECE 140A ,"Khoshabeh, Ramsin",WI18,48,38,97.4,97.4,8.34,3.39,3.51,mat
250,2171,ECE,ECE 140A ,"Khoshabeh, Ramsin",WI19,65,23,86.4,90.9,7.95,3.41,3.43,mat
251,2172,ECE,ECE 140B ,"Gessner, Richard K.",SP18,32,21,95.2,100.0,9.45,3.62,3.7,mat
252,2173,ECE,ECE 140B ,"Gessner, Richard K.",SP19,39,27,66.7,80.8,9.17,3.44,3.52,mat
253,2174,ECE,ECE 140B ,"Khoshabeh, Ramsin",SP18,32,21,95.2,100.0,9.45,3.62,3.7,mat
254,2175,ECE,ECE 140B ,"Khoshabeh, Ramsin",SP19,39,27,66.7,92.3,9.17,3.44,3.52,mat
255,2176,ECE,ECE 141A ,"Gessner, Richard K.",WI19,63,40,100.0,97.5,9.05,3.58,3.38,sm
256,2177,ECE,ECE 141B ,"Gessner, Richard K.",SP19,48,19,94.4,100.0,10.61,3.73,3.49,sm
257,2178,ECE,ECE 143 ,"Unpingco, Jose H.",FA18,92,75,85.3,90.5,6.63,3.74,3.6,sm
258,2179,ECE,ECE 143 ,"Unpingco, Jose H.",SP18,62,18,72.2,77.8,7.72,3.59,3.35,sm
259,2180,ECE,ECE 143 ,"Unpingco, Jose H.",SP19,100,58,100.0,100.0,6.46,3.89,3.8,sm
260,2181,ECE,ECE 143 ,"Unpingco, Jose H.",WI19,67,54,94.3,96.2,7.62,3.79,3.5,sm
261,2182,ECE,ECE 144 ,"Phan, Alex Minh Giang",SP19,29,18,94.1,100.0,12.77,3.6,3.69,sm
262,2183,ECE,ECE 144 ,"Phan, Alex Minh Giang",WI19,23,18,94.4,100.0,14.61,3.44,3.63,sm
263,2184,ECE,ECE 145BL ,"Hildebrand, John A",WI17,20,7,100.0,100.0,5.17,4.0,3.77,sip
264,2185,ECE,ECE 145CL ,"Hildebrand, John A",SP15,26,7,100.0,100.0,5.64,3.86,3.56,sip
265,2186,ECE,ECE 15 ,"Cruz, Rene L",FA12,178,73,74.6,35.8,9.99,2.84,3.14,ecs
266,2187,ECE,ECE 15 ,"Frankie, Tasha Christine",FA12,131,83,82.7,81.3,9.78,3.45,2.6,ecs
267,2188,ECE,ECE 15 ,"Frankie, Tasha Christine",S212,46,12,91.7,100.0,10.17,3.67,2.63,ecs
268,2189,ECE,ECE 15 ,"Gilja, Vikash",FA13,155,81,72.7,84.4,11.47,2.99,2.9,ecs
269,2190,ECE,ECE 15 ,"Gilja, Vikash",FA14,188,81,71.8,91.5,10.84,2.97,2.51,ecs
270,2191,ECE,ECE 15 ,"Gilja, Vikash",SP16,155,55,75.5,89.8,8.71,3.08,2.88,ecs
271,2192,ECE,ECE 15 ,"Gilja, Vikash",WI19,169,76,80.0,90.0,8.61,3.14,3.23,ecs
272,2193,ECE,ECE 15 ,"Guest, Clark C",FA07,60,45,73.3,53.3,5.74,2.95,2.42,ecs
273,2194,ECE,ECE 15 ,"Guest, Clark C",WI08,27,14,42.9,35.7,6.81,3.07,2.59,ecs
274,2195,ECE,ECE 15 ,"Orlitsky, Alon",FA09,103,58,79.3,65.5,10.36,3.28,2.69,ecs
275,2196,ECE,ECE 15 ,"Orlitsky, Alon",FA10,179,91,67.8,60.2,10.36,3.01,2.54,ecs
276,2197,ECE,ECE 15 ,"Orlitsky, Alon",FA11,261,112,73.2,64.69999999999999,10.225,2.755,2.41,ecs
277,2198,ECE,ECE 15 ,"Orlitsky, Alon",FA13,382,168,80.9,68.30000000000001,10.675,3.075,2.51,ecs
278,2199,ECE,ECE 15 ,"Orlitsky, Alon",FA15,252,114,79.8,79.8,7.56,3.16,2.51,ecs
279,2200,ECE,ECE 15 ,"Orlitsky, Alon",FA16,198,80,88.4,82.85,8.875,3.32,2.81,ecs
280,2201,ECE,ECE 15 ,"Orlitsky, Alon",WI09,41,23,78.3,87.0,7.28,3.17,2.31,ecs
281,2202,ECE,ECE 15 ,"Schurgers, Curt",SP19,99,78,91.0,97.4,8.99,3.15,2.89,ecs
282,2203,ECE,ECE 15 ,"Vardy, Alexander",FA08,80,56,73.2,67.9,8.04,3.13,2.34,ecs
283,2204,ECE,ECE 15 ,"Vardy, Alexander",FA14,172,112,75.9,75.9,10.5,2.94,2.56,ecs
284,2205,ECE,ECE 15 ,"Vardy, Alexander",FA17,221,123,65.4,79.8,10.54,2.97,2.68,ecs
285,2206,ECE,ECE 15 ,"Vardy, Alexander",FA18,262,165,74.8,80.4,8.86,2.86,2.66,ecs
286,2207,ECE,ECE 15 ,"Vardy, Alexander",WI10,57,22,47.6,61.9,12.68,2.9,2.64,ecs
287,2208,ECE,ECE 15 ,"Vardy, Alexander",WI11,64,20,45.0,70.0,12.9,2.65,2.29,ecs
288,2209,ECE,ECE 15 ,"Vardy, Alexander",WI12,105,52,71.2,69.2,11.75,3.16,2.14,ecs
289,2210,ECE,ECE 15 ,"Vardy, Alexander",WI13,75,29,72.0,72.0,9.0,3.09,2.46,ecs
290,2211,ECE,ECE 15 ,"Vardy, Alexander",WI14,132,54,78.4,68.6,9.72,2.73,2.44,ecs
291,2212,ECE,ECE 15 ,"Vardy, Alexander",WI15,135,51,68.8,81.3,9.85,2.84,2.56,ecs
292,2213,ECE,ECE 15 ,"Vardy, Alexander",WI17,84,24,62.5,79.2,9.98,3.0,2.64,ecs
293,2214,ECE,ECE 15 ,"Vardy, Alexander",WI18,135,83,76.9,83.3,9.47,2.79,2.87,ecs
294,2215,ECE,ECE 153 ,"Javidi, Tara",FA18,21,15,66.7,86.7,7.97,2.67,2.75,sip
295,2216,ECE,ECE 153 ,"Javidi, Tara",SP12,35,17,82.4,88.2,10.97,2.93,2.63,sip
296,2217,ECE,ECE 153 ,"Javidi, Tara",SP15,54,22,75.0,70.0,9.55,3.2,2.66,sip
297,2218,ECE,ECE 153 ,"Javidi, Tara",SP18,27,7,85.7,71.4,9.36,2.86,3.49,sip
298,2219,ECE,ECE 153 ,"Kim, Young-Han",FA08,24,23,72.7,72.7,8.15,2.91,3.05,sip
299,2220,ECE,ECE 153 ,"Kim, Young-Han",SP08,32,22,85.7,81.0,9.05,2.9,2.92,sip
300,2221,ECE,ECE 153 ,"Kim, Young-Han",SP10,26,10,100.0,90.0,8.7,2.9,2.82,sip
301,2222,ECE,ECE 153 ,"Kim, Young-Han",SP11,33,16,87.5,100.0,8.88,2.8,2.72,sip
302,2223,ECE,ECE 153 ,"Kim, Young-Han",SP14,45,17,81.3,75.0,8.77,2.77,2.94,sip
303,2224,ECE,ECE 153 ,"Lee, Jungwon",SP13,41,18,70.6,35.3,9.44,2.75,3.04,sip
304,2225,ECE,ECE 153 ,"Lugannani, Robert",FA07,28,21,85.7,85.7,7.83,3.63,3.15,sip
305,2226,ECE,ECE 153 ,"Lugannani, Robert",FA09,44,22,72.7,86.4,6.41,3.16,2.66,sip
306,2227,ECE,ECE 153 ,"Lugannani, Robert",FA10,34,21,81.0,95.2,7.36,3.43,2.72,sip
307,2228,ECE,ECE 153 ,"Lugannani, Robert",FA11,45,20,85.0,90.0,8.7,3.26,3.25,sip
308,2229,ECE,ECE 153 ,"Lugannani, Robert",FA12,60,26,87.0,95.7,7.98,3.48,2.76,sip
309,2230,ECE,ECE 153 ,"Lugannani, Robert",FA13,44,20,89.5,100.0,8.71,3.37,2.95,sip
310,2231,ECE,ECE 153 ,"Lugannani, Robert",FA14,101,35,96.9,93.8,8.11,3.25,3.07,sip
311,2232,ECE,ECE 153 ,"Lugannani, Robert",FA15,112,32,83.3,83.3,6.97,3.57,2.67,sip
312,2233,ECE,ECE 153 ,"Lugannani, Robert",FA16,96,39,91.7,94.4,7.13,3.5,2.97,sip
313,2234,ECE,ECE 153 ,"Lugannani, Robert",FA17,97,27,73.9,73.9,6.33,3.13,2.93,sip
314,2235,ECE,ECE 153 ,"Lugannani, Robert",SP09,50,40,87.5,87.5,7.35,3.38,2.56,sip
315,2236,ECE,ECE 153 ,"Lugannani, Robert",WI19,45,15,100.0,100.0,5.5,3.67,3.23,sip
316,2237,ECE,ECE 153 ,"Naghshvar, Mohammad",SP16,58,48,61.7,55.3,9.79,2.93,2.88,sip
317,2238,ECE,ECE 153 ,"Pal, Piya",SP19,36,28,88.9,96.3,7.98,3.11,3.26,sip
318,2239,ECE,ECE 153 ,"Rao, Ramesh R",SP17,68,29,74.1,66.7,8.35,3.19,3.01,sip
319,2240,ECE,ECE 154A ,"Milstein, Laurence B.",FA07,20,11,100.0,100.0,7.41,3.44,3.22,sip
320,2241,ECE,ECE 154A ,"Milstein, Laurence B.",FA09,28,16,81.3,100.0,5.88,3.14,2.89,sip
321,2242,ECE,ECE 154A ,"Milstein, Laurence B.",FA10,28,12,66.7,75.0,7.0,2.91,2.55,sip
322,2243,ECE,ECE 154A ,"Milstein, Laurence B.",FA11,20,12,100.0,100.0,10.0,3.17,2.84,sip
323,2244,ECE,ECE 154A ,"Milstein, Laurence B.",FA15,25,11,90.0,100.0,9.61,3.3,2.46,sip
324,2245,ECE,ECE 154A ,"Milstein, Laurence B.",FA16,22,7,100.0,100.0,7.36,3.5,2.86,sip
325,2246,ECE,ECE 154B ,"Milstein, Laurence B.",WI10,29,15,100.0,100.0,6.5,3.21,3.08,sip
326,2247,ECE,ECE 154B ,"Milstein, Laurence B.",WI11,21,9,88.9,88.9,7.61,3.56,2.74,sip
327,2248,ECE,ECE 154B ,"Milstein, Laurence B.",WI16,29,13,92.3,92.3,7.88,3.23,2.94,sip
328,2249,ECE,ECE 154B ,"Milstein, Laurence B.",WI17,21,10,100.0,100.0,10.5,3.8,2.7,sip
329,2250,ECE,ECE 154C ,"Kim, Young-Han",SP16,21,8,87.5,87.5,6.0,3.25,3.44,ecs
330,2251,ECE,ECE 154C ,"Wolf, Jack K",SP10,26,15,100.0,100.0,6.63,3.4,3.36,ecs
331,2252,ECE,ECE 156 ,"Hodgkiss, William S.",SP08,27,12,83.3,91.7,5.0,3.58,2.16,sip
332,2253,ECE,ECE 156 ,"Hodgkiss, William S.",SP09,50,20,89.5,100.0,3.0,3.37,2.64,sip
333,2254,ECE,ECE 156 ,"Hodgkiss, William S.",SP10,41,21,75.0,90.0,4.2,3.15,2.58,sip
334,2255,ECE,ECE 156 ,"Hodgkiss, William S.",SP11,54,19,68.4,94.7,4.5,3.35,2.65,sip
335,2256,ECE,ECE 158A ,"Cruz, Rene L",FA10,25,7,85.7,85.7,6.21,3.57,3.24,sip
336,2257,ECE,ECE 158A ,"Ehsan, Navid",WI09,37,27,96.2,96.0,5.76,3.5,2.83,sip
337,2258,ECE,ECE 158A ,"Franceschetti, Massimo",FA13,25,9,100.0,100.0,5.17,3.67,2.74,sip
338,2259,ECE,ECE 158A ,"Franceschetti, Massimo",FA15,69,20,76.5,88.2,6.26,3.19,2.87,sip
339,2260,ECE,ECE 158A ,"Franceschetti, Massimo",FA17,34,16,93.8,93.8,5.03,3.25,3.13,sip
340,2261,ECE,ECE 158A ,"Franceschetti, Massimo",FA18,31,10,100.0,100.0,3.83,3.33,3.05,sip
341,2262,ECE,ECE 158A ,"Javidi, Tara",FA16,39,14,50.0,33.3,12.5,2.82,3.1,sip
342,2263,ECE,ECE 158A ,"Minero, Paolo",FA14,35,17,100.0,100.0,6.68,3.45,3.11,sip
343,2264,ECE,ECE 158B ,"Baker, Corey E.",SP16,43,41,90.0,92.5,7.27,3.58,3.84,sip
344,2265,ECE,ECE 159A ,"Masry, Elias",FA08,17,15,100.0,100.0,7.3,3.69,2.99,sip
345,2266,ECE,ECE 16 ,"Dane, Gokce",SP17,25,21,100.0,81.0,5.36,3.55,3.77,ecs
346,2267,ECE,ECE 16 ,"Gilja, Vikash",WI16,21,9,100.0,100.0,7.25,3.83,3.43,ecs
347,2268,ECE,ECE 16 ,"Gilja, Vikash",WI17,21,12,100.0,100.0,5.67,3.8,3.88,ecs
348,2269,ECE,ECE 16 ,"Khoshabeh, Ramsin",FA17,20,17,100.0,94.1,5.09,3.41,3.46,ecs
349,2270,ECE,ECE 16 ,"Khoshabeh, Ramsin",FA18,23,7,71.4,85.7,13.93,3.14,3.46,ecs
350,2271,ECE,ECE 16 ,"Khoshabeh, Ramsin",WI19,21,13,92.3,92.3,14.5,3.18,3.15,ecs
351,2272,ECE,ECE 16 ,"Schurgers, Curt",SP19,28,15,86.7,100.0,13.43,2.67,3.31,ecs
352,2273,ECE,ECE 161A ,"Javidi, Tara",FA07,45,28,72.0,64.0,7.71,3.0,2.78,sip
353,2274,ECE,ECE 161A ,"Javidi, Tara",FA15,110,30,88.9,63.0,9.38,3.0,2.73,sip
354,2275,ECE,ECE 161A ,"Javidi, Tara",SP09,36,32,90.3,81.3,6.5,3.43,2.8,sip
355,2276,ECE,ECE 161A ,"Javidi, Tara",SP10,53,42,88.1,52.4,7.09,2.83,2.92,sip
356,2277,ECE,ECE 161A ,"Nguyen, Truong Quang",FA11,67,28,96.4,92.9,7.93,3.3,3.29,sip
357,2278,ECE,ECE 161A ,"Nguyen, Truong Quang",SP11,47,25,100.0,100.0,8.02,3.25,3.01,sip
358,2279,ECE,ECE 161A ,"Pun, Ka Shun Carson",SP12,45,18,88.9,50.0,8.61,3.28,3.13,sip
359,2280,ECE,ECE 161A ,"Rao, Bhaskar D.",FA08,37,23,91.3,91.3,7.37,3.09,3.12,sip
360,2281,ECE,ECE 161A ,"Rao, Bhaskar D.",FA09,69,39,94.9,94.9,8.5,3.06,2.59,sip
361,2282,ECE,ECE 161A ,"Rao, Bhaskar D.",FA10,36,21,100.0,95.2,8.4,3.3,3.21,sip
362,2283,ECE,ECE 161A ,"Rao, Bhaskar D.",FA12,75,37,91.2,76.5,9.26,3.18,2.75,sip
363,2284,ECE,ECE 161A ,"Rao, Bhaskar D.",FA13,74,31,96.2,96.2,8.96,3.52,2.67,sip
364,2285,ECE,ECE 161A ,"Rao, Bhaskar D.",FA14,111,29,92.6,92.6,7.78,2.8,2.87,sip
365,2286,ECE,ECE 161A ,"Rao, Bhaskar D.",FA16,89,38,94.3,94.3,8.32,3.23,2.95,sip
366,2287,ECE,ECE 161A ,"Rao, Bhaskar D.",FA17,72,23,100.0,95.2,9.0,3.3,2.49,sip
367,2288,ECE,ECE 161A ,"Rao, Bhaskar D.",FA18,66,20,75.0,90.0,8.8,2.63,2.65,sip
368,2289,ECE,ECE 161A ,"Rao, Bhaskar D.",SP08,41,33,72.7,90.9,9.11,3.07,2.77,sip
369,2290,ECE,ECE 161B ,"Nguyen, Truong Quang",WI09,41,33,90.9,93.9,6.98,3.35,3.44,sip
370,2291,ECE,ECE 161B ,"Nguyen, Truong Quang",WI10,77,26,100.0,92.3,5.12,3.28,3.32,sip
371,2292,ECE,ECE 161B ,"Nguyen, Truong Quang",WI11,60,28,96.3,92.6,7.29,3.32,3.21,sip
372,2293,ECE,ECE 161B ,"Nguyen, Truong Quang",WI12,67,24,95.8,91.7,6.58,3.54,3.08,sip
373,2294,ECE,ECE 161B ,"Nguyen, Truong Quang",WI13,60,32,93.5,93.5,6.5,3.29,3.23,sip
374,2295,ECE,ECE 161B ,"Nguyen, Truong Quang",WI14,43,17,93.8,93.8,7.75,3.56,3.35,sip
375,2296,ECE,ECE 161B ,"Nguyen, Truong Quang",WI16,78,28,92.6,100.0,7.39,3.22,3.22,sip
376,2297,ECE,ECE 161B ,"Nguyen, Truong Quang",WI17,60,29,100.0,100.0,8.71,3.3,3.2,sip
377,2298,ECE,ECE 161B ,"Nguyen, Truong Quang",WI18,46,19,100.0,100.0,6.29,3.28,3.2,sip
378,2299,ECE,ECE 161B ,"Nguyen, Truong Quang",WI19,43,19,100.0,100.0,7.87,3.0,3.34,sip
379,2300,ECE,ECE 161B ,"Sathe, Vinay",WI08,39,26,80.8,88.5,4.88,3.46,3.43,sip
380,2301,ECE,ECE 161B ,"Song, Hee Chun",WI15,68,20,89.5,89.5,6.94,3.32,3.44,sip
381,2302,ECE,ECE 161C ,"Harris, Frederick Joel",SP19,58,20,64.7,70.6,8.75,3.5,3.51,sip
382,2303,ECE,ECE 161C ,"Vasconcelos, Nuno",SP08,34,20,78.9,68.4,6.08,3.25,2.76,sip
383,2304,ECE,ECE 161C ,"Vasconcelos, Nuno",SP09,30,18,87.5,62.5,6.94,3.47,3.11,sip
384,2305,ECE,ECE 161C ,"Vasconcelos, Nuno",SP10,45,34,90.9,87.9,7.71,3.33,2.73,sip
385,2306,ECE,ECE 161C ,"Vasconcelos, Nuno",SP11,31,27,77.8,61.5,8.13,2.81,2.48,sip
386,2307,ECE,ECE 161C ,"Vasconcelos, Nuno",SP12,48,44,93.0,97.7,9.59,3.36,3.36,sip
387,2308,ECE,ECE 161C ,"Vasconcelos, Nuno",SP13,32,30,89.7,89.7,7.76,2.9,2.86,sip
388,2309,ECE,ECE 161C ,"Vasconcelos, Nuno",SP14,29,26,92.3,84.6,10.12,3.04,2.87,sip
389,2310,ECE,ECE 161C ,"Vasconcelos, Nuno",SP15,58,54,90.6,88.7,6.88,3.27,2.82,sip
390,2311,ECE,ECE 161C ,"Vasconcelos, Nuno",SP16,58,54,85.2,81.5,6.76,2.94,2.87,sip
391,2312,ECE,ECE 161C ,"Vasconcelos, Nuno",SP17,66,62,80.3,63.9,6.57,3.17,2.76,sip
392,2313,ECE,ECE 163 ,"Bott-Suzuki, Simon Charles",SP16,76,21,90.0,100.0,10.94,3.56,3.11,ecs
393,2314,ECE,ECE 163 ,"Hsueh, Tzu-Chien",SP19,42,30,85.2,84.6,9.14,3.4,3.49,ecs
394,2315,ECE,ECE 163 ,"Levy, Cooper Sinclair",SP18,27,23,78.3,87.0,10.59,2.87,2.98,ecs
395,2316,ECE,ECE 163 ,"Song, Bang Sup",SP08,34,23,82.6,60.9,10.5,3.27,3.24,ecs
396,2317,ECE,ECE 163 ,"Song, Bang Sup",SP09,45,23,91.3,69.6,8.76,3.55,2.97,ecs
397,2318,ECE,ECE 163 ,"Song, Bang Sup",SP10,62,30,93.1,62.1,10.78,3.52,3.05,ecs
398,2319,ECE,ECE 163 ,"Song, Bang Sup",SP11,51,21,85.0,35.0,12.98,3.06,2.93,ecs
399,2320,ECE,ECE 163 ,"Song, Bang Sup",SP12,51,19,77.8,66.7,12.08,3.39,3.04,ecs
400,2321,ECE,ECE 163 ,"Song, Bang Sup",SP13,57,14,85.7,42.9,10.65,3.07,3.02,ecs
